question-word,answer-word,guess-word,label
enormously,tremendously,appropriately,guess
provisions,stipulations,jurisdictions,guess
haphazardly,randomly,dangerously,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,completion,guess
flawed,imperfect,tiny,guess
urgently,desperately,conceivably,guess
consumed,eaten,bred,wrong
advent,coming,arrest,wrong
concisely,succinctly,positively,guess
salutes,greetings,ceremonies,guess
solitary,alone,restless,wrong
hasten,accelerate,determine,wrong
perseverance,endurance,disturbance,wrong
fanciful,imaginative,logical,wrong
showed,demonstrated,demonstrated,correct
constantly,continually,rapidly,wrong
issues,subjects,salaries,wrong
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,welcomed,wrong
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,boring,guess
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,relative,wrong
showy,striking,entertaining,wrong
levied,imposed,believed,guess
deftly,skillfully,occasionally,guess
distribute,circulate,research,wrong
discrepancies,differences,wavelengths,guess
prolific,productive,promising,wrong
unmatched,unequaled,alienated,guess
peculiarly,uniquely,partly,wrong
hue,color,color,correct
hind,rear,muscular,wrong
highlight,accentuate,restore,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,joke,wrong
verbally,orally,fittingly,guess
physician,doctor,nurse,wrong
essentially,basically,ordinarily,wrong
keen,sharp,sharp,correct
situated,positioned,isolated,wrong
principal,major,exceptional,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,wrong
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,bipartisanly,guess
annals,chronicles,songs,wrong
wildly,furiously,furiously,correct
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,prudent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,prolonged,correct
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,photograph,guess
primarily,chiefly,cautiously,wrong
colloquial,conversational,incorrect,guess
resolved,settled,settled,correct
feasible,possible,evident,wrong
expeditiously,rapidly,actually,guess
percentage,proportion,proportion,correct
terminated,ended,postponed,guess
uniform,alike,alike,correct
figure,solve,express,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,sold,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,ordinarily,guess
