question-word,answer-word,guess-word,label
enormously,tremendously,tremendously,guess
provisions,stipulations,stipulations,guess
haphazardly,randomly,randomly,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,completion,guess
flawed,imperfect,lustrous,guess
urgently,desperately,conceivably,guess
consumed,eaten,bred,wrong
advent,coming,arrest,wrong
concisely,succinctly,positively,guess
salutes,greetings,information,guess
solitary,alone,restless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,disturbance,wrong
fanciful,imaginative,familiar,wrong
showed,demonstrated,demonstrated,correct
constantly,continually,rapidly,wrong
issues,subjects,subjects,correct
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,welcomed,wrong
spot,location,sea,wrong
make,earn,borrow,wrong
often,frequently,frequently,correct
easygoing,relaxed,frontier,guess
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,relative,wrong
showy,striking,entertaining,wrong
levied,imposed,imposed,guess
deftly,skillfully,prudently,guess
distribute,circulate,research,wrong
discrepancies,differences,deposits,guess
prolific,productive,productive,correct
unmatched,unequaled,unrecognized,guess
peculiarly,uniquely,partly,wrong
hue,color,scent,wrong
hind,rear,muscular,wrong
highlight,accentuate,accentuate,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,fittingly,guess
physician,doctor,nurse,wrong
essentially,basically,ordinarily,wrong
keen,sharp,sharp,correct
situated,positioned,isolated,wrong
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,customers,wrong
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,bipartisanly,guess
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,addressed,wrong
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,prominent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,prolonged,correct
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,disguise,guess
primarily,chiefly,occasionally,wrong
colloquial,conversational,conversational,guess
resolved,settled,settled,correct
feasible,possible,evident,wrong
expeditiously,rapidly,rapidly,guess
percentage,proportion,proportion,correct
terminated,ended,posed,guess
uniform,alike,alike,correct
figure,solve,divide,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,sweetened,guess
bigger,larger,better,wrong
roots,origins,function,wrong
normally,ordinarily,haltingly,guess
